"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","embryonic skeletal joint morphogenesis","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000021835,ENSMUSG00000022483,ENSMUSG00000027833"
"GOTERM_BP_DIRECT","regulation of myeloid cell differentiation","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000028717,ENSMUSG00000049577,ENSMUSG00000001288"
"GOTERM_BP_DIRECT","pyruvate catabolic process","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000025161,ENSMUSG00000032902,ENSMUSG00000063229"
"GOTERM_BP_DIRECT","negative regulation of macrophage cytokine production","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000002603,ENSMUSG00000007805,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","regulation of DNA-templated DNA replication initiation","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000006585,ENSMUSG00000006715,ENSMUSG00000068428"
"GOTERM_BP_DIRECT","oncogene-induced cell senescence","3","853","7","13832","6.47e-2","9.42e-1","6.95","1.00e+0","9.27e-1","6.78e-3","ENSMUSG00000046711,ENSMUSG00000078249,ENSMUSG00000056758"
"GOTERM_BP_DIRECT","pattern specification process","7","853","47","13832","6.71e-2","9.69e-1","2.42","1.00e+0","9.54e-1","2.41e-2","ENSMUSG00000014603,ENSMUSG00000021318,ENSMUSG00000037188,ENSMUSG00000051367,ENSMUSG00000002633,ENSMUSG00000040310,ENSMUSG00000029546"
"GOTERM_BP_DIRECT","positive regulation of miRNA transcription","7","853","47","13832","6.71e-2","9.69e-1","2.42","1.00e+0","9.54e-1","2.41e-2","ENSMUSG00000002603,ENSMUSG00000021835,ENSMUSG00000038146,ENSMUSG00000037621,ENSMUSG00000020122,ENSMUSG00000032402,ENSMUSG00000020542"
"GOTERM_BP_DIRECT","erythrocyte maturation","4","853","16","13832","7.16e-2","1.00e+0","4.05","1.00e+0","9.85e-1","1.44e-2","ENSMUSG00000023216,ENSMUSG00000028717,ENSMUSG00000055609,ENSMUSG00000054191"
"GOTERM_BP_DIRECT","ATP biosynthetic process","4","853","16","13832","7.16e-2","1.00e+0","4.05","1.00e+0","9.85e-1","1.44e-2","ENSMUSG00000030695,ENSMUSG00000002603,ENSMUSG00000015112,ENSMUSG00000051811"
"GOTERM_BP_DIRECT","osteoblast development","4","853","16","13832","7.16e-2","1.00e+0","4.05","1.00e+0","9.85e-1","1.44e-2","ENSMUSG00000021469,ENSMUSG00000032492,ENSMUSG00000002633,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","thalamus development","4","853","16","13832","7.16e-2","1.00e+0","4.05","1.00e+0","9.85e-1","1.44e-2","ENSMUSG00000059246,ENSMUSG00000039830,ENSMUSG00000002633,ENSMUSG00000028417"
"GOTERM_BP_DIRECT","negative regulation of DNA damage response, signal transduction by p53 class mediator","4","853","16","13832","7.16e-2","1.00e+0","4.05","1.00e+0","9.85e-1","1.44e-2","ENSMUSG00000005087,ENSMUSG00000042821,ENSMUSG00000022676,ENSMUSG00000035799"
"GOTERM_BP_DIRECT","dorsal/ventral neural tube patterning","4","853","16","13832","7.16e-2","1.00e+0","4.05","1.00e+0","9.85e-1","1.44e-2","ENSMUSG00000009900,ENSMUSG00000021835,ENSMUSG00000002633,ENSMUSG00000028736"
"GOTERM_BP_DIRECT","signal transduction involved in regulation of gene expression","5","853","26","13832","7.26e-2","1.00e+0","3.12","1.00e+0","9.85e-1","1.96e-2","ENSMUSG00000021469,ENSMUSG00000025219,ENSMUSG00000048450,ENSMUSG00000045394,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","negative regulation of T cell proliferation","5","853","26","13832","7.26e-2","1.00e+0","3.12","1.00e+0","9.85e-1","1.96e-2","ENSMUSG00000042333,ENSMUSG00000002603,ENSMUSG00000002633,ENSMUSG00000019987,ENSMUSG00000035873"
"GOTERM_BP_DIRECT","embryonic pattern specification","5","853","26","13832","7.26e-2","1.00e+0","3.12","1.00e+0","9.85e-1","1.96e-2","ENSMUSG00000022941,ENSMUSG00000021359,ENSMUSG00000066687,ENSMUSG00000002633,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","lipid transport","10","853","84","13832","7.30e-2","1.00e+0","1.93","1.00e+0","9.85e-1","3.34e-2","ENSMUSG00000033685,ENSMUSG00000056870,ENSMUSG00000035472,ENSMUSG00000032849,ENSMUSG00000042759,ENSMUSG00000041736,ENSMUSG00000024177,ENSMUSG00000024600,ENSMUSG00000037336,ENSMUSG00000056656"
