"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0097120"	"GO:0097120"	"receptor localization to synapse"	106	0.627150919992871	2.42730327319664	2.91339652075898e-13	2.09728581636366e-11	1.35428451653735e-11	2845	"tags=58%, list=18%, signal=48%"
"GO:0010948"	"GO:0010948"	"negative regulation of cell cycle process"	269	-0.426708505552036	-2.14678135528714	2.91245752070221e-13	2.09728581636366e-11	1.35428451653735e-11	3551	"tags=46%, list=22%, signal=37%"
"GO:1902414"	"GO:1902414"	"protein localization to cell junction"	147	0.578409461280977	2.35939748142489	5.38597617139959e-13	3.829954518955e-11	2.47312410334998e-11	2955	"tags=53%, list=18%, signal=44%"
"GO:1901988"	"GO:1901988"	"negative regulation of cell cycle phase transition"	230	-0.437870216090741	-2.16965750526043	5.86879147795386e-13	4.12300278409023e-11	2.66235473895256e-11	2580	"tags=46%, list=16%, signal=39%"
"GO:0048813"	"GO:0048813"	"dendrite morphogenesis"	195	0.528247142925108	2.22203645874345	1.25163967137953e-12	8.6884653854929e-11	5.61041993048193e-11	1829	"tags=34%, list=11%, signal=31%"
"GO:0048588"	"GO:0048588"	"developmental cell growth"	264	0.494597837464544	2.13391357119412	1.31335808712105e-12	9.00963647765042e-11	5.81781037477648e-11	2612	"tags=36%, list=16%, signal=31%"
"GO:0048168"	"GO:0048168"	"regulation of neuronal synaptic plasticity"	73	0.687153996216944	2.48572441093629	1.67606809328865e-12	1.13641314557746e-10	7.33818307184029e-11	2956	"tags=60%, list=18%, signal=49%"
"GO:1903532"	"GO:1903532"	"positive regulation of secretion by cell"	312	0.465578045443775	2.03641269676429	1.80794010173303e-12	1.21173548657532e-10	7.82456351348948e-11	3130	"tags=37%, list=19%, signal=30%"
"GO:1903046"	"GO:1903046"	"meiotic cell cycle process"	187	-0.468288381460758	-2.26377582162477	2.64239785219062e-12	1.75088884955949e-10	1.13060491833563e-10	2861	"tags=43%, list=18%, signal=36%"
"GO:0007093"	"GO:0007093"	"mitotic cell cycle checkpoint signaling"	131	-0.525515314972643	-2.41990010846978	2.89000646745175e-12	1.8934413159226e-10	1.2226556042667e-10	3551	"tags=52%, list=22%, signal=41%"
"GO:0140053"	"GO:0140053"	"mitochondrial gene expression"	166	-0.491329756177768	-2.31570008464036	3.83533943189669e-12	2.48487380304329e-10	1.60456247343795e-10	5312	"tags=60%, list=33%, signal=41%"
"GO:0000819"	"GO:0000819"	"sister chromatid segregation"	219	-0.444482322270737	-2.20437774784412	5.19506309778161e-12	3.32883658496314e-10	2.14953622912259e-10	2783	"tags=45%, list=17%, signal=38%"
"GO:0000723"	"GO:0000723"	"telomere maintenance"	146	-0.503122639624228	-2.34303635382168	5.37982636036342e-12	3.37309328035259e-10	2.17811419253197e-10	3274	"tags=43%, list=20%, signal=35%"
"GO:0032200"	"GO:0032200"	"telomere organization"	146	-0.503122639624228	-2.34303635382168	5.37982636036342e-12	3.37309328035259e-10	2.17811419253197e-10	3274	"tags=43%, list=20%, signal=35%"
"GO:0051965"	"GO:0051965"	"positive regulation of synapse assembly"	83	0.648128683487826	2.40244807231191	6.04677113168873e-12	3.75092792222096e-10	2.42209410280522e-10	3036	"tags=58%, list=19%, signal=47%"
"GO:1901990"	"GO:1901990"	"regulation of mitotic cell cycle phase transition"	311	-0.390809643918068	-2.01579181347503	6.45688979349951e-12	3.96317098798902e-10	2.55914623726845e-10	3470	"tags=44%, list=22%, signal=35%"
"GO:0002009"	"GO:0002009"	"morphogenesis of an epithelium"	482	-0.346363801013083	-1.8671330139966	6.8888119120704e-12	4.18423565200859e-10	2.70189475981095e-10	3262	"tags=33%, list=20%, signal=27%"
"GO:1903305"	"GO:1903305"	"regulation of regulated secretory pathway"	139	0.56639937742348	2.28071056507069	7.10460906967626e-12	4.27082221497755e-10	2.75780647229864e-10	3128	"tags=44%, list=19%, signal=36%"
"GO:0008344"	"GO:0008344"	"adult locomotory behavior"	98	0.626904546885959	2.38836299951833	8.59664650578673e-12	5.0633379570952e-10	3.26955922926094e-10	3415	"tags=57%, list=21%, signal=45%"
"GO:0043269"	"GO:0043269"	"regulation of monoatomic ion transport"	370	0.445632562205782	1.98006133368752	8.56586196700813e-12	5.0633379570952e-10	3.26955922926094e-10	2806	"tags=34%, list=17%, signal=29%"
"GO:0140236"	"GO:0140236"	"translation at presynapse"	48	-0.69965399335465	-2.6408596238391	1.01245157126916e-11	5.90360511207047e-10	3.81214660045241e-10	4242	"tags=88%, list=26%, signal=65%"
"GO:0001701"	"GO:0001701"	"in utero embryonic development"	485	-0.335857485318159	-1.80586751539069	1.09621729290834e-11	6.32875548014705e-10	4.08667978815334e-10	3420	"tags=34%, list=21%, signal=28%"
"GO:0051966"	"GO:0051966"	"regulation of synaptic transmission, glutamatergic"	81	0.651282783499339	2.3982935461976	1.13211774855361e-11	6.41916487181313e-10	4.14506002337336e-10	2939	"tags=54%, list=18%, signal=45%"
"GO:0051321"	"GO:0051321"	"meiotic cell cycle"	240	-0.421680873094454	-2.11010948224312	1.13389466951938e-11	6.41916487181313e-10	4.14506002337336e-10	2922	"tags=38%, list=18%, signal=32%"
"GO:0045786"	"GO:0045786"	"negative regulation of cell cycle"	331	-0.382394008698155	-1.95926795040698	1.2903937138956e-11	7.23489014012044e-10	4.67179991356738e-10	3551	"tags=42%, list=22%, signal=33%"
"GO:0015800"	"GO:0015800"	"acidic amino acid transport"	75	0.66069975731879	2.39969123764947	1.40450234640657e-11	7.72608790744972e-10	4.98898201896355e-10	2418	"tags=52%, list=15%, signal=44%"
